x,y
-3.645833582,8.437499404
-3.993055783,8.437499404
-3.993055783,8.090277202
-2.951389179,7.395832799
-2.951389179,7.743055001
-3.29861138,7.743055001
-3.29861138,7.395832799
-2.951389179,8.090277202
-2.951389179,8.437499404
-3.29861138,8.437499404
-3.29861138,8.090277202
-3.645833582,8.784721605
-3.645833582,9.131943807
-3.993055783,9.131943807
-3.993055783,8.784721605
-3.645833582,9.479166009
-3.645833582,9.82638821
-3.993055783,9.82638821
-3.993055783,9.479166009
-2.951389179,8.784721605
-2.951389179,9.131943807
-3.29861138,9.131943807
-3.29861138,8.784721605
-2.951389179,9.479166009
-2.951389179,9.82638821
-3.29861138,9.82638821
-3.29861138,9.479166009
-2.256944776,4.618055187
-2.256944776,4.965277389
-2.604166977,4.965277389
-2.604166977,4.618055187
-2.256944776,5.31249959
-2.256944776,5.659721792
-2.604166977,5.659721792
-2.604166977,5.31249959
-1.562500373,4.618055187
-1.562500373,4.965277389
-1.909722574,4.965277389
-1.909722574,4.618055187
-1.562500373,5.31249959
-1.562500373,5.659721792
-1.909722574,5.659721792
-1.909722574,5.31249959
-2.256944776,6.006943993
-2.256944776,6.354166195
-2.604166977,6.354166195
-2.604166977,6.006943993
-2.256944776,6.701388396
-2.256944776,7.048610598
-2.604166977,7.048610598
-2.604166977,6.701388396
-1.562500373,6.006943993
-1.562500373,6.354166195
-1.909722574,6.354166195
-1.909722574,6.006943993
-1.562500373,6.701388396
-1.562500373,7.048610598
-1.909722574,7.048610598
-1.909722574,6.701388396
-0.868055969,4.618055187
-0.868055969,4.965277389
-1.215278171,4.965277389
-1.215278171,4.618055187
-0.868055969,5.31249959
-0.868055969,5.659721792
-1.215278171,5.659721792
-1.215278171,5.31249959
-0.173611566,4.618055187
-0.173611566,4.965277389
-0.520833768,4.965277389
-0.520833768,4.618055187
-0.173611566,5.31249959
-0.173611566,5.659721792
-0.520833768,5.659721792
-0.520833768,5.31249959
-0.868055969,6.006943993
-0.868055969,6.354166195
-1.215278171,6.354166195
-1.215278171,6.006943993
-0.868055969,6.701388396
-0.868055969,7.048610598
-1.215278171,7.048610598
-1.215278171,6.701388396
-0.173611566,6.006943993
-0.173611566,6.354166195
-0.520833768,6.354166195
-0.520833768,6.006943993
-0.173611566,6.701388396
-0.173611566,7.048610598
-0.520833768,7.048610598
-0.520833768,6.701388396
-2.256944776,7.395832799
-2.256944776,7.743055001
-2.604166977,7.743055001
-2.604166977,7.395832799
-2.256944776,8.090277202
-2.256944776,8.437499404
-2.604166977,8.437499404
-2.604166977,8.090277202
-1.562500373,7.395832799
-1.562500373,7.743055001
-1.909722574,7.743055001
-1.909722574,7.395832799
-1.562500373,8.090277202
-1.562500373,8.437499404
-1.909722574,8.437499404
-1.909722574,8.090277202
-2.256944776,8.784721605
-2.256944776,9.131943807
-2.604166977,9.131943807
-2.604166977,8.784721605
-2.256944776,9.479166009
-2.256944776,9.82638821
-2.604166977,9.82638821
-2.604166977,9.479166009
-1.562500373,8.784721605
-1.562500373,9.131943807
-1.909722574,9.131943807
-1.909722574,8.784721605
-1.562500373,9.479166009
-1.562500373,9.82638821
-1.909722574,9.82638821
-1.909722574,9.479166009
-0.868055969,7.395832799
-0.868055969,7.743055001
-1.215278171,7.743055001
-1.215278171,7.395832799
-0.868055969,8.090277202
-0.868055969,8.437499404
-1.215278171,8.437499404
-1.215278171,8.090277202
-0.173611566,7.395832799
-0.173611566,7.743055001
-0.520833768,7.743055001
-0.520833768,7.395832799
-0.173611566,8.090277202
-0.173611566,8.437499404
-0.520833768,8.437499404
-0.520833768,8.090277202
-0.868055969,8.784721605
-0.868055969,9.131943807
-1.215278171,9.131943807
-1.215278171,8.784721605
-0.868055969,9.479166009
-0.868055969,9.82638821
-1.215278171,9.82638821
-1.215278171,9.479166009
-0.173611566,8.784721605
-0.173611566,9.131943807
-0.520833768,9.131943807
-0.520833768,8.784721605
-0.173611566,9.479166009
-0.173611566,9.82638821
-0.520833768,9.82638821
-0.520833768,9.479166009
-7.118055597,10.17361134
-7.118055597,10.52083354
-7.500012871,10.52083354
-7.500012871,10.17361134
-7.118055597,10.86805575
-7.118055597,11.21527795
-7.500012871,11.21527795
-7.500012871,10.86805575
-7.118055597,11.56250015
-7.118055597,11.90972235
-7.500012871,11.90972235
-7.500012871,11.56250015
-7.118055597,12.25694455
-7.118055597,12.60416675
-7.500012871,12.60416675
-7.500012871,12.25694455
-6.423611194,10.17361134
-6.423611194,10.52083354
-6.770833395,10.52083354
-6.770833395,10.17361134
-6.423611194,10.86805575
-6.423611194,11.21527795
-6.770833395,11.21527795
-6.770833395,10.86805575
-5.729166791,10.17361134
-5.729166791,10.52083354
-6.076388992,10.52083354
-6.076388992,10.17361134
-5.729166791,10.86805575
-5.729166791,11.21527795
-6.076388992,11.21527795
-6.076388992,10.86805575
-6.423611194,11.56250015
-6.423611194,11.90972235
-6.770833395,11.90972235
-6.770833395,11.56250015
-6.423611194,12.25694455
-6.423611194,12.60416675
-6.770833395,12.60416675
-6.770833395,12.25694455
-5.729166791,11.56250015
-5.729166791,11.90972235
-6.076388992,11.90972235
-6.076388992,11.56250015
-5.729166791,12.25694455
-5.729166791,12.60416675
-6.076388992,12.60416675
-6.076388992,12.25694455
-7.118055597,12.95138896
-7.118055597,13.29861116
-7.500012871,13.29861116
-7.500012871,12.95138896
-7.118055597,13.64583336
-7.118055597,13.99305556
-7.500012871,13.99305556
-7.500012871,13.64583336
-7.118055597,14.34027776
-7.118055597,14.68749996
-7.500012871,14.68749996
-7.500012871,14.34027776
-7.118055597,15.03472123
-7.118055597,15.38194437
-7.500012871,15.38194437
-7.500012871,15.03472123
-6.423611194,12.95138896
-6.423611194,13.29861116
-6.770833395,13.29861116
-6.770833395,12.95138896
-6.423611194,13.64583336
-6.423611194,13.99305556
-6.770833395,13.99305556
-6.770833395,13.64583336
-5.729166791,12.95138896
-5.729166791,13.29861116
-6.076388992,13.29861116
-6.076388992,12.95138896
-5.729166791,13.64583336
-5.729166791,13.99305556
-6.076388992,13.99305556
-6.076388992,13.64583336
-6.423611194,14.34027776
-6.423611194,14.68749996
-6.770833395,14.68749996
-6.770833395,14.34027776
-6.423611194,15.03472123
-6.423611194,15.38194437
-6.770833395,15.38194437
-6.770833395,15.03472123
-5.729166791,14.34027776
