timestamp,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,ft_fx,ft_fy,ft_fz
2025-09-12T21:26:40.148858,0.122461796,-1.647072931,1.569713895,-1.725012442,-1.604133431,0.190747261,0,0.122461796,-1.647072931,1.569713895,-1.725012442,-1.604133431,0.190747261,0,-0.8994,-1.4506,-0.119
2025-09-12T21:26:40.180846,0.125141144,-1.647910734,1.569820706,-1.720882555,-1.604097668,0.191018105,0,0.125141144,-1.647910734,1.569820706,-1.720882555,-1.604097668,0.191018105,0,-0.9394,-1.3506,-0.319
2025-09-12T21:26:40.212864,0.127979755,-1.64849486,1.570001904,-1.716357847,-1.604084317,0.191028118,0,0.127979755,-1.64849486,1.570001904,-1.716357847,-1.604084317,0.191028118,0,-1.2194,-1.4106,-0.099
2025-09-12T21:26:40.260886,0.130784988,-1.649031302,1.570301358,-1.711966654,-1.603879754,0.19073391,0,0.130784988,-1.649031302,1.570301358,-1.711966654,-1.603879754,0.19073391,0,-0.8194,-1.8106,-0.339
2025-09-12T21:26:40.292933,0.133413315,-1.649170061,1.570637051,-1.707296511,-1.603735749,0.190096378,0,0.133413315,-1.649170061,1.570637051,-1.707296511,-1.603735749,0.190096378,0,-0.7994,-1.2106,-0.299
2025-09-12T21:26:40.324951,0.13505888,-1.649021765,1.570864026,-1.704435488,-1.603639905,0.189592838,0,0.13505888,-1.649021765,1.570864026,-1.704435488,-1.603639905,0.189592838,0,-0.7194,-1.4706,-0.319
2025-09-12T21:26:40.356965,0.136610508,-1.648574015,1.571102444,-1.701740404,-1.603397671,0.188838005,0,0.136610508,-1.648574015,1.571102444,-1.701740404,-1.603397671,0.188838005,0,-1.1594,-1.3706,-0.079
2025-09-12T21:26:40.389014,0.138056278,-1.64793696,1.571258847,-1.699179312,-1.602989499,0.18809557,0,0.138056278,-1.64793696,1.571258847,-1.699179312,-1.602989499,0.18809557,0,-1.0994,-1.8306,-0.039
2025-09-12T21:26:40.421325,0.139369488,-1.647069117,1.571377103,-1.697527071,-1.602558438,0.1873312,0,0.139369488,-1.647069117,1.571377103,-1.697527071,-1.602558438,0.1873312,0,-1.0994,-0.8706,-0.379
2025-09-12T21:26:40.453044,0.140646458,-1.645742079,1.571506802,-1.69567885,-1.602174107,0.186701298,0,0.140646458,-1.645742079,1.571506802,-1.69567885,-1.602174107,0.186701298,0,-0.7794,-1.8306,-0.279
